DATE,Observation time,Showalter index,Lifted index,LIFT computed using virtual temperature,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Equivalent potential temp [K] of the LCL,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
2003 APR 2, 030402/0000,3273.26,3533.26,-17.08,-7.56,N/A,884.02,295.14,927.14,355.8,301.6,18.48,50.14,0.08,-2.83,-4,20.1,22.7,42.8,5780,38.1,N/A,859.72
2003 APR 3, 030403/0000,3653.69,3844.16,-21.24,-18.26,114.84,853.59,295.02,937.21,353.5,300.57,18.05,57.09,-2.64,-3.66,-4.58,22.9,24.1,47,5768,41.3,115.05,843.18
2003 APR 4, 030404/0000,2550.14,2723.24,-17.33,-10.48,124.61,880.25,294.74,944.44,351.02,299.62,17.57,54.63,-0.32,-3.4,-4.05,21.09,23.61,44.7,5723,36.3,125.08,870.07
2003 APR 5, 030405/0000,4093.21,4289.17,-11.23,-12.77,N/A,898.16,296.08,949.73,356.33,300.5,18.98,57.38,-3.35,-6.19,-7.19,23.8,25.3,49.1,5772,39,N/A,894.9
2003 APR 6, 030406/0000,4860.67,5109.89,-0.82,-0.49,109.15,941.67,297.29,955.42,361.3,301.22,20.33,60.07,-3.85,-7.95,-8.78,23.3,27.7,51,5775,38.7,109.99,938.8
2003 APR 7, 030407/0000,2677.7,2947.2,-1.66,-1.33,127.35,932.28,296.01,961.72,353.92,299.35,18.64,46.34,-0.46,-3.8,-4.65,20.9,23.7,44.6,5768,28.1,127.46,930.21
2003 APR 8, 030408/0000,4403.36,4710.73,-2.99,-2.42,109.97,937.46,297.52,954.39,362.63,301.53,20.63,56.14,-2.55,-6.36,-7.35,22.9,23.7,46.6,5789,32.3,110.13,934.94
2003 APR 9, 030409/0000,2123.13,2332.5,-0.32,0,145.95,943.64,294.29,943.64,349.14,299.23,17.19,46.37,-1.2,-4.34,-4.92,22.3,24.5,46.8,5753,26.1,146.26,941.14
2003 APR 11, 030411/0000,3126.13,3310.65,-29.85,-19.86,N/A,843.33,295.48,931.58,356.63,301.54,18.64,59.97,-3.68,-5.3,-6.08,23.5,25.7,49.2,5792,39.6,N/A,825.63
2003 APR 12, 030412/0000,2265.38,2531.48,-21.26,-2.47,132.92,861.54,293.99,887.47,357.48,304.21,18.02,49.18,0.01,-3.59,-4.51,19.7,23.9,43.6,5794,34.6,134.52,830.28
2003 APR 14, 030414/0000,2120.15,2330.49,-91.38,-39.83,127.65,852.34,294.9,925.96,354.86,301.47,18.09,47.32,-2.61,-5.52,-6.17,22.6,26.1,48.7,5791,22.8,128.16,722.41
2003 APR 15, 030415/0000,6297.69,6748.49,-0.35,-0.03,N/A,951.91,298.14,953.23,366.08,302.26,21.47,47.44,93.36,-7.36,-8.18,-65.8,-64.8,-130.6,5806,-158.16,N/A,948.87
2003 APR 16, 030416/0000,3357.44,3640.19,-37.75,-26.08,108.36,874.86,295.8,937.37,357.15,301.35,18.92,47.87,-2.11,-5.46,-6.4,22.2,25.1,47.3,5788,25.2,109.36,858.54
2003 APR 17, 030417/0000,3858.55,4212.44,-2.15,-1.74,N/A,933.95,297.63,954.74,363.14,301.62,20.77,52.09,-5.06,-7.31,-8.7,25.1,25.1,50.2,5795,31.1,N/A,932.11
2003 APR 18, 030418/0000,3578.94,3893.86,-42.21,-28.36,118.52,862.36,296.7,942.52,360.63,301.79,19.89,50.78,-3.53,-6.15,-7.19,23.1,25.9,49,5803,30.3,119.75,835.78
2003 APR 19, 030419/0000,3340.71,3598.78,-16.81,-19.43,113.99,880.25,295.73,945.01,355.46,300.57,18.65,50.78,-4.89,-5.91,-6.69,25.3,25.3,50.6,5773,29.04,114.98,880.87
2003 APR 20, 030420/0000,4539.11,4830.57,-6.5,-3.44,N/A,917.74,296.83,940.37,361.65,302.12,20.1,55.66,-4.93,-8.9,-9.94,25.32,26.45,51.78,5750.71,39.64,N/A,910.13
2003 APR 21, 030421/0000,0,0,0,0,N/A,N/A,230.35,606.2,266.23,265.87,0.79,38.33,2.78,49.38,49.78,17.9,22.9,40.8,5747,24.3,N/A,N/A
2003 APR 22, 030422/0000,0,0,0,0,N/A,N/A,261.03,930.03,271.06,266.6,3.39,33.3,0.42,45.69,45.87,19.5,24.5,44,5788,18.7,N/A,N/A
2003 APR 23, 030423/0000,4165.8,4470.16,-3.59,-3.61,118.8,912.75,297.31,960.43,360.51,300.79,20.24,52.93,-4.39,-7.71,-8.85,25,25.1,50.1,5767,26.8,119.55,912.27
